CRIMHIST,DISTRICT,MONSEX,NEWCIT,NEWEDUC,NEWRACE,OFFTYPSB,TOTPRISN,AGE
1,48,0,1,5,2,18,51,33
1,19,0,0,5,2,18,0,62
1,78,0,0,3,3,10,0,24
1,22,1,0,5,1,13,0,19
1,30,0,1,1,3,27,0,35
1,49,1,0,5,1,10,528,43
0,33,0,0,6,1,18,36,51
0,45,0,0,6,2,21,0,50
1,19,0,1,1,3,27,0,38
,22,0,0,,1,13,0,44
1,41,0,1,1,3,27,21,33
1,49,0,1,1,3,27,77,33
1,51,0,0,1,1,10,60,33
1,62,1,0,5,2,17,61,34
1,31,0,1,1,3,10,120,52
1,31,0,0,5,3,18,46,47
1,31,0,1,1,3,27,0,35
1,78,0,0,1,2,4,120,27
1,19,0,1,1,3,27,14,40
1,48,0,0,6,2,21,84,44
1,84,0,1,1,3,27,2,37
1,83,0,0,3,2,10,120,37
1,30,0,0,5,1,28,60,61
1,84,0,1,1,3,27,3,38
0,77,0,0,6,1,28,60,67
1,42,0,0,3,1,13,30,40
1,77,0,0,3,1,13,63,43
1,41,0,1,1,3,27,12,38
1,84,0,1,1,3,27,15,48
1,78,0,0,3,1,5,12,33
1,84,0,1,5,3,27,0,31
0,41,0,0,6,1,18,5,60
1,19,0,0,1,2,10,48,21
1,77,0,0,6,1,35,120,42
0,9,1,0,1,3,10,46,30
1,19,0,0,5,1,17,30,38
1,46,0,1,1,3,18,13,27
1,84,0,1,1,3,27,2,52
0,55,0,0,3,6,18,0,44
1,45,0,1,6,3,10,120,48
1,49,0,0,1,1,10,80,41
1,57,0,0,1,3,10,0,44
0,84,0,0,,3,10,0,19
0,15,0,0,5,1,18,0,44
1,53,0,0,1,2,13,51,30
1,84,0,1,1,3,27,2,31
,17,0,0,,1,12,0,41
1,84,0,1,1,3,27,2,32
1,49,1,0,5,1,18,27,38
0,41,1,1,5,3,17,0,37
1,22,1,1,3,6,27,4,45
1,87,1,0,6,1,19,24,42
1,19,0,0,5,1,10,41,48
1,84,0,1,1,3,27,1,24
1,53,0,0,3,1,13,96,22
1,41,0,1,1,3,27,14,40
1,56,0,0,1,1,13,180,42
1,19,0,0,3,1,28,120,49
0,42,0,0,1,3,27,6,27
1,42,0,1,1,3,27,48,50
1,83,0,1,,3,27,0,28
0,49,1,0,1,1,18,18,28
1,19,0,0,6,1,13,34,56
1,42,0,1,1,3,27,14,37
1,42,1,1,3,3,27,7,32
1,55,0,0,3,3,13,0,26
