POOFFICE,TOTPRISN,TIMSERVM,TIMSERVD,TOTDAYS,SENTIMP,MONRACE,MONSEX,NEWEDUC,NEWRACE,OFFTYPSB,NEWCIT,AGE,CITIZEN,CITWHERE,CRIMHIST,DISTRICT,HISPORIG
2,4,0,0,0,1,4,1,3,6,27,1,45,3,27,1,22,1
5,24,0,0,0,1,1,1,6,1,19,0,42,1,211,1,87,0
1,41,0,0,0,1,1,0,5,1,10,0,48,1,211,1,19,1
2,1,0,0,9,1,1,0,1,3,27,1,24,3,49,1,84,2
1,96,0,0,0,1,1,0,3,1,13,0,22,1,211,1,53,1
4,14,0,0,0,1,1,0,1,3,27,1,40,3,49,1,41,2
1,180,0,0,0,1,1,0,1,1,13,0,42,1,211,1,56,1
3,120,0,0,0,1,1,0,3,1,28,0,49,1,211,1,19,1
2,6,0,0,0,1,1,0,1,3,27,0,27,1,211,0,42,2
2,48,0,0,0,1,1,0,1,3,27,1,50,3,49,1,42,2
6,0,997,997,0,1,1,0,1,3,27,1,28,3,40,1,83,2
3,18,0,0,0,1,1,1,1,1,18,0,28,1,211,0,49,1
1,34,0,0,0,1,1,0,6,1,13,0,56,1,211,1,19,1
2,14,0,0,0,1,1,0,1,3,27,1,37,3,49,1,42,2
2,7,0,0,0,1,1,1,3,3,27,1,32,3,49,1,42,2
1,0,0,0,0,3,1,0,3,3,13,0,26,1,211,1,55,2
2,36,0,0,0,1,1,0,3,1,13,0,33,1,211,1,89,1
1,0,0,202,0,1,2,0,3,2,10,0,38,1,211,1,55,1
4,42,0,0,0,1,1,0,1,3,23,1,43,3,49,1,70,2
2,1,0,0,13,1,1,0,1,3,27,1,25,3,49,1,84,2
3,0,997,997,0,1,7,0,1,3,10,1,35,3,49,1,42,2
5,0,0,0,0,4,1,1,5,1,35,0,43,1,211,0,87,1
1,38,0,0,0,1,1,0,6,1,18,0,60,1,211,1,47,1
1,92,0,0,0,1,1,0,3,1,13,0,29,1,211,1,47,1
2,1,0,0,1,1,1,0,1,3,27,1,30,3,32,1,84,2
1,144,0,0,0,1,1,0,1,1,28,0,40,1,211,1,55,1
5,64,0,0,0,1,1,0,1,1,10,0,36,1,211,1,47,1
3,48,0,0,0,1,1,0,5,1,28,0,42,1,211,1,71,1
3,108,0,0,0,1,1,0,3,3,10,1,45,2,20,1,39,2
1,36,0,0,0,1,1,0,1,3,10,1,37,3,30,1,3,2
1,188,0,0,0,1,2,0,3,2,6,0,34,1,211,1,55,1
2,7,0,0,0,1,1,0,1,3,27,1,34,3,49,1,42,2
3,109,0,0,0,1,2,0,5,2,10,0,38,1,211,1,39,1
2,33,0,0,0,1,1,0,5,3,10,1,20,3,49,0,42,2
1,41,0,0,0,1,2,0,1,2,10,0,28,1,211,1,3,1
3,66,0,0,0,1,1,0,1,3,27,1,24,3,49,1,39,2
3,120,0,0,0,1,1,0,1,3,28,0,27,1,211,1,39,2
2,144,0,0,0,1,1,0,5,1,13,0,25,1,211,1,70,1
3,84,0,0,0,1,1,0,1,3,13,0,29,1,211,1,39,2
3,0,7,11,0,1,1,0,1,3,27,1,24,3,49,1,39,2
2,12,0,0,0,1,1,0,1,3,27,1,44,3,49,1,70,2
1,46,0,0,0,1,4,0,3,6,10,0,59,1,211,1,75,1
5,12,0,0,0,1,1,0,5,3,27,1,32,3,49,1,17,2
3,37,0,0,0,1,1,0,1,3,10,1,66,2,49,0,39,2
3,0,0,0,0,4,2,1,3,2,18,0,38,1,211,1,39,1
3,0,0,0,0,3,1,1,1,1,18,0,22,1,211,1,39,1
5,120,0,0,0,1,1,0,1,3,10,1,37,3,159,1,42,2
3,60,0,0,0,1,2,0,1,3,13,0,20,1,211,0,4,2
3,51,0,0,0,1,1,0,1,3,10,1,41,3,49,1,39,2
4,36,0,0,0,1,2,0,1,2,13,0,30,1,211,1,29,1
1,0,0,0,25,1,1,0,1,3,27,1,23,3,49,1,84,2
2,0,4,25,0,1,1,0,1,3,27,1,46,3,49,1,70,2
2,7,0,0,0,1,1,0,1,3,27,1,50,3,49,1,42,2
4,24,0,0,0,1,1,0,3,3,30,0,24,1,211,1,66,2
3,27,0,0,0,1,1,0,5,1,17,0,43,1,211,1,49,1
